date,NonEU_Balance,EU_Balance,GBPperUSD
01/04/2008,-12794,-11745,1.9847
01/07/2008,-13381,-11390,1.9806
01/10/2008,-13167,-9420,1.6165
01/01/2009,-13744,-9385,1.4413
01/04/2009,-14084,-9116,1.4799
01/07/2009,-11341,-10139,1.6713
01/10/2009,-10885,-9650,1.6479
01/01/2010,-9753,-11656,1.6009
01/04/2010,-12625,-10251,1.5308
01/07/2010,-12286,-10484,1.5714
01/10/2010,-13160,-12268,1.602
01/01/2011,-15414,-10896,1.6042
01/04/2011,-10780,-9292,1.6691
01/07/2011,-14845,-7792,1.6455
01/10/2011,-16437,-11468,1.6141
01/01/2012,-13423,-10918,1.5754
01/04/2012,-12028,-13369,1.6225
01/07/2012,-14507,-14887,1.5686
01/10/2012,-12037,-14706,1.6111
01/01/2013,-13981,-15392,1.5856
01/04/2013,-12643,-15696,1.5539
01/07/2013,-12499,-16728,1.5177
01/10/2013,-12225,-17195,1.6068
01/01/2014,-13889,-19789,1.645
01/04/2014,-10256,-18697,1.6883
01/07/2014,-10667,-18732,1.6889
01/10/2014,-10849,-20316,1.5999
01/01/2015,-11541,-21517,1.5026
01/04/2015,-11361,-23096,1.5328
01/07/2015,-5856,-21474,1.5634
01/10/2015,-7399,-21409,1.5445
01/01/2016,-6149,-22976,1.4184
01/04/2016,-8300,-23881,1.4625
01/07/2016,-7712,-22494,1.327
01/10/2016,-15117,-23575,1.2212
