Date,Cod,Haddock
08/01/16,3.3,3.85
15/01/16,2.695,2.005
22/01/16,1.84,1.54
29/01/16,2.06,1.675
05/02/16,2.915,2.655
12/02/16,2.045,1.785
19/02/16,1.985,2.125
26/02/16,1.97,2.2
04/03/16,2.005,1.71
11/03/16,1.73,1.465
18/03/16,1.745,1.665
25/03/16,1.925,2.52
01/04/16,1.85,1.69
08/04/16,2.185,3.27
15/04/16,1.605,1.9
22/04/16,1.95,2.435
29/04/16,2.12,2.815
06/05/16,2.18,2.085
13/05/16,1.885,2.215
20/05/16,1.87,1.87
27/05/16,2.675,2.555
03/06/16,2.59,2.24
10/06/16,2.775,3.5
17/06/16,2.1,3.6
24/06/16,2.18,1.555
01/07/16,2.525,1.855
08/07/16,2.775,2.275
15/07/16,2.345,1.46
22/07/16,2.99,1.63
29/07/16,3,1.94
05/08/16,3.34,2.695
12/08/16,3.335,2.775
19/08/16,3.165,2.31
26/08/16,2.33,1.885
02/09/16,2.89,1.975
09/09/16,2.73,2.595
16/09/16,2.45,2.09
23/09/16,2.99,2.175
30/09/16,3.405,3.175
