Date,Haddock Large,Haddock Medium
08/01/16,3.45,4.25
15/01/16,1.96,2.05
22/01/16,1.55,1.53
29/01/16,1.68,1.67
05/02/16,2.58,2.73
12/02/16,1.63,1.94
19/02/16,2.00,2.25
26/02/16,1.91,2.49
04/03/16,1.49,1.93
11/03/16,1.33,1.60
18/03/16,1.38,1.95
25/03/16,2.32,2.72
01/04/16,1.38,2.00
08/04/16,2.90,3.64
15/04/16,1.54,2.26
22/04/16,2.27,2.60
29/04/16,2.73,2.90
06/05/16,1.79,2.38
13/05/16,2.28,2.15
20/05/16,1.89,1.85
27/05/16,2.67,2.44
03/06/16,2.04,2.44
10/06/16,3.20,3.80
17/06/16,3.80,3.40
24/06/16,1.55,1.56
01/07/16,1.86,1.85
08/07/16,2.30,2.25
15/07/16,1.46,1.46
22/07/16,1.66,1.60
29/07/16,1.98,1.90
05/08/16,2.79,2.60
12/08/16,2.85,2.70
19/08/16,2.33,2.29
26/08/16,1.91,1.86
02/09/16,1.93,2.02
09/09/16,2.62,2.57
16/09/16,2.13,2.05
23/09/16,2.21,2.14
30/09/16,3.20,3.15
