date,Scotland,England,Northern Ireland,Wales
20150101,31986,10601,1106,482
20150201,29259,7725,1716,796
20150301,20668,10229,1690,905
20150401,23697,10797,1783,1895
20150501,20791,10303,1752,837
20150601,24875,12414,2643,1732
20150701,32885,12942,3160,1134
20150801,31032,13291,2943,1443
20150901,29218,14829,3729,1480
20151001,38513,14623,1695,1376
20151101,36112,11564,1899,514
20151201,26421,9340,1466,853
20160101,36410,5118,2159,384
20160201,32185,5864,1653,843
20160301,22537,6730,1010,1150
20160401,13942,6760,807,900
20160501,13992,6711,1111,977
20160601,16512,6680,1568,1222
20160701,21607,8675,1358,1127
20160801,31693,12113,3039,805
20160901,21221,10247,3473,2284
20161001,35970,10504,944,957
