Date,Close,Volume
2017-01-06,9,262400
2017-01-05,8.76,220000
2017-01-04,9.36,160400
2017-01-03,9.2,224000
2017-01-02,9.31,115000
2016-12-30,9.6,116900
2016-12-29,9.3,82500
2016-12-28,9.62,204300
2016-12-27,9.62,354800
2016-12-26,9.2,0
2016-12-23,9.2,579000
2016-12-22,8.42,43900
2016-12-21,8.31,45400
2016-12-20,8.51,28500
2016-12-19,8.4,32800
2016-12-16,8.42,94100
2016-12-15,8.5,75100
2016-12-14,8.49,66100
2016-12-13,8.44,161800
2016-12-12,8.4,197800
2016-12-09,8.44,195000
2016-12-08,8.16,99600
2016-12-07,8.12,164700
2016-12-06,8.23,47700
2016-12-05,8.49,116500
2016-12-02,8.3,134900
2016-12-01,8.18,118100
2016-11-30,8.38,88100
2016-11-29,8.31,100200
2016-11-28,8.48,94700
2016-11-25,8.69,269900
2016-11-24,8.15,224800
2016-11-23,8.3,724400
2016-11-22,9.25,273800
2016-11-21,9.05,186600
2016-11-18,8.84,67000
2016-11-17,8.7,152000
2016-11-16,8.7,48900
2016-11-15,8.75,379500
2016-11-14,8.5,155900
2016-11-11,8.8,153500
2016-11-10,8.8,76600
2016-11-09,8.72,148900
2016-11-08,8.9,80500
2016-11-07,8.9,93600
2016-11-04,8.67,51800
2016-11-03,8.67,204500
2016-11-02,8.5,210900
2016-11-01,8.71,286600
2016-10-31,9.17,395800
2016-10-28,9.72,132200
2016-10-27,9.8,127500
2016-10-26,9.6,199600
2016-10-25,9.96,376300
2016-10-24,9.87,292900
2016-10-21,9.5,363300
2016-10-20,9.74,429900
2016-10-19,9.4,242300
2016-10-18,9.35,480600
2016-10-17,9.02,720300
2016-10-14,8.99,348000
2016-10-13,8.6,274400
2016-10-12,8.38,219700
2016-10-11,8.45,457900
2016-10-10,8.39,652100
2016-10-07,7.79,59400
2016-10-06,7.95,56100
2016-10-05,7.73,30300
2016-10-04,7.75,70800
2016-10-03,7.81,96900
2016-09-30,7.89,200200
2016-09-29,7.77,104100
2016-09-28,7.7,180100
2016-09-27,7.14,18800
2016-09-26,7.4,52000
2016-09-23,7.5,104200
2016-09-22,7.17,245600
2016-09-21,7.1,83200
2016-09-20,7.1,133300
2016-09-19,7.1,70900
2016-09-16,7.1,192600
2016-09-15,7.03,71100
2016-09-14,7,140600
2016-09-13,7.1,68300
2016-09-12,7.2,19200
2016-09-09,7.2,68200
2016-09-08,7.42,35300
2016-09-07,7.54,81400
2016-09-06,8,25400
2016-09-05,8,56100
2016-09-02,8,65200
2016-09-01,7.5,36300
2016-08-31,7.43,35000
2016-08-30,7.75,42700
2016-08-29,7.98,37500
2016-08-26,7.66,25500
2016-08-25,7.65,80900
2016-08-24,8,150600
2016-08-23,8.25,180000
2016-08-22,7.43,64400
2016-08-19,7.03,76000
2016-08-18,7.41,26600
2016-08-17,7.38,15700
2016-08-16,7.5,83500
2016-08-15,7.01,405400
2016-08-12,7.5,114300
2016-08-11,7.78,68600
2016-08-10,7.76,97600
2016-08-09,8.07,235900
2016-08-08,7.99,237500
2016-08-05,8.45,92000
2016-08-04,8.75,44100
2016-08-03,8.61,42800
2016-08-02,8.81,72500
2016-08-01,8.79,96200
2016-07-29,8.8,174000
2016-07-28,9,51600
2016-07-27,9.1,67800
2016-07-26,8.93,45800
2016-07-25,8.83,55000
2016-07-22,8.74,52500
2016-07-21,9.05,47500
2016-07-20,8.9,118600
